"","airline_name","type_traveller","cabin_flown","overall_rating","seat_comfort_rating","cabin_staff_rating","food_beverages_rating","inflight_entertainment_rating","ground_service_rating","wifi_connectivity_rating","value_money_rating","recommended"
"5385","airbaltic",NA,"Economy",6,4,4,3,3,NA,NA,4,1
"5386","airbaltic",NA,"Economy",1,3,1,1,1,NA,NA,1,0
"5387","air-transat",NA,"Economy",NA,1,4,3,0,NA,NA,3,0
"5388","air-transat",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5389","air-transat",NA,"Economy",NA,4,1,4,0,NA,NA,3,0
"5390","air-transat",NA,"Economy",9,4,5,5,5,NA,NA,5,1
"5391","air-new-zealand",NA,"Business Class",9,5,4,5,4,NA,NA,4,1
"5392","air-new-zealand",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5393","airasia-x",NA,"Economy",8,4,4,3,1,NA,NA,5,1
"5394","airasia-x",NA,"Economy",10,5,5,5,0,NA,NA,5,1
"5395","airasia-x",NA,"Premium Economy",10,5,5,5,0,NA,NA,5,1
"5396","airasia",NA,"Economy",10,5,5,1,1,NA,NA,5,1
"5397","airasia",NA,"Economy",9,4,5,4,1,NA,NA,5,1
"5398","airasia",NA,"Economy",5,3,3,2,1,NA,NA,3,0
"5399","airbaltic",NA,"Economy",NA,3,1,2,0,NA,NA,1,0
"5400","airbaltic",NA,"Economy",2,4,3,2,1,NA,NA,1,0
"5401","airbaltic",NA,"Business Class",2,1,4,1,1,NA,NA,1,0
"5402","air-transat",NA,"Economy",8,3,5,3,3,NA,NA,4,1
"5403","air-transat",NA,"Economy",3,2,2,2,2,NA,NA,2,0
"5404","air-transat",NA,"Premium Economy",NA,1,1,1,0,NA,NA,1,0
"5405","air-transat",NA,"Economy",10,4,5,4,5,NA,NA,5,1
"5406","air-new-zealand",NA,"Business Class",4,2,3,4,3,NA,NA,2,0
"5407","air-new-zealand",NA,"Economy",2,4,1,0,5,NA,NA,0,1
"5408","air-new-zealand",NA,"Economy",7,3,3,4,3,NA,NA,3,1
"5409","air-blue",NA,"Economy",5,2,3,4,1,NA,NA,4,1
"5410","airasia-x",NA,"Economy",10,5,5,5,5,NA,NA,5,1
"5411","airasia-x",NA,"Business Class",8,5,5,3,3,NA,NA,5,1
"5412","airasia-x",NA,"Economy",9,3,4,4,0,NA,NA,4,1
"5413","airasia",NA,"Economy",1,3,1,1,1,NA,NA,1,0
"5414","airasia",NA,"Economy",8,5,5,4,1,NA,NA,5,1
"5415","airasia",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5416","airbaltic",NA,"Economy",9,4,5,4,1,NA,NA,5,1
"5417","airbaltic",NA,"Economy",10,5,5,3,1,NA,NA,5,1
"5418","airbaltic",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5419","airbaltic",NA,"Economy",1,1,1,1,1,NA,NA,1,0
"5420","air-transat",NA,"Economy",2,1,4,3,2,NA,NA,2,0
"5421","air-transat",NA,"Economy",1,1,2,1,1,NA,NA,1,0
"5422","air-transat",NA,"Business Class",10,4,5,5,4,NA,NA,5,1
"5423","air-transat",NA,"Economy",2,1,3,2,1,NA,NA,1,0
"5424","air-new-zealand",NA,"Economy",10,4,5,5,5,NA,NA,5,1
"5425","air-new-zealand",NA,"Economy",3,1,2,4,3,NA,NA,2,0
"5426","air-new-zealand",NA,"Premium Economy",8,5,5,4,5,NA,NA,4,1
"5427","air-new-zealand",NA,"Premium Economy",6,1,5,5,5,NA,NA,4,1
"5428","air-blue",NA,"Economy",5,2,3,2,0,NA,NA,3,1
"5429","air-blue",NA,"Economy",1,2,1,1,1,NA,NA,3,0
"5430","air-blue",NA,"Economy",1,1,1,1,1,NA,NA,3,0
"5431","air-blue",NA,"Economy",2,4,3,3,0,NA,NA,2,0
"5432","airasia-x",NA,"Premium Economy",10,5,5,4,4,NA,NA,5,1
"5433","airasia-x",NA,"Economy",7,2,4,3,2,NA,NA,5,1
"5434","airasia-x",NA,"Economy",9,4,5,3,0,NA,NA,5,1
"5435","airasia-x",NA,"Economy",10,4,5,5,4,NA,NA,5,1
"5436","airasia",NA,"Economy",10,5,3,5,3,NA,NA,5,1
"5437","airasia",NA,"Economy",7,4,4,4,3,NA,NA,4,1
"5438","airasia",NA,"Economy",7,3,4,3,2,NA,NA,3,1
"5439","airbaltic",NA,"Economy",2,3,2,0,0,NA,NA,2,0
"5440","airbaltic",NA,"Economy",NA,2,1,1,1,NA,NA,1,0
"5441","airbaltic",NA,"Economy",1,3,1,1,0,NA,NA,1,0
"5442","airbaltic",NA,"Economy",NA,3,3,0,1,NA,NA,2,0
"5443","air-transat",NA,"Business Class",8,3,5,5,4,NA,NA,3,1
"5444","air-transat",NA,"Economy",9,4,4,4,5,NA,NA,5,1
"5445","air-transat",NA,"Economy",9,4,5,4,4,NA,NA,5,1
"5446","air-new-zealand",NA,"Business Class",10,4,5,5,4,NA,NA,5,1
"5447","air-new-zealand",NA,"Economy",8,3,5,5,4,NA,NA,4,1
"5448","air-new-zealand",NA,"Business Class",NA,2,4,5,4,NA,NA,1,0
"5449","air-blue",NA,"Economy",1,2,2,3,1,NA,NA,1,0
"5450","air-blue",NA,"Economy",NA,2,1,1,1,NA,NA,1,0
"5451","air-blue",NA,"Economy",4,2,4,3,1,NA,NA,2,0
"5452","airasia-x",NA,"Economy",5,2,3,2,0,NA,NA,3,0
"5453","airasia-x",NA,"Economy",10,4,4,4,0,NA,NA,5,1
"5454","airasia-x",NA,"Economy",8,4,4,4,0,NA,NA,3,1
"5455","airasia-x",NA,"Premium Economy",8,4,5,3,0,NA,NA,5,1
"5456","airasia",NA,"Economy",8,2,4,4,1,NA,NA,4,0
"5457","airasia",NA,"Economy",8,4,5,4,4,NA,NA,5,1
"5458","airasia",NA,"Economy",8,3,3,2,1,NA,NA,5,1
"5459","airbaltic",NA,"Economy",1,3,1,1,1,NA,NA,3,0
"5460","airbaltic",NA,"Economy",6,3,4,3,0,NA,NA,3,1
"5461","airbaltic",NA,"Economy",7,4,4,4,0,NA,NA,4,1
